defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000096,,CHEBI:33784,elemental beryllium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000097,,CHEBI:85541,elemental bismuth,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000098,,CHEBI:33609,elemental boron,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000099,,CHEBI:37249,elemental cadmium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000100,,CHEBI:155919,elemental caesium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000101,,CHEBI:35155,elemental calcium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000102,,CHEBI:37265,elemental cerium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000103,,CHEBI:155866,elemental chromium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000104,,CHEBI:155865,elemental cobalt,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000105,,CHEBI:37404,elemental copper,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000106,,CHEBI:155920,elemental gallium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000107,,CHEBI:33970,elemental gold,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000108,,CHEBI:37114,elemental indium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000109,,CHEBI:82663,elemental iron,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000110,,CHEBI:155921,elemental lanthanum,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000111,,CHEBI:37193,elemental lead,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000112,,CHEBI:155867,elemental lithium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000113,,CHEBI:33973,elemental magnesium,ENVO:00002006,liquid water,,,,,,,,,,
