Level	Rule Name	Subject	Property	Value
INFO	missing_superclass	concentration of elemental molybdenum in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental nickel in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental niobium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental phosphorus in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental potassium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental rubidium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental selenium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silicon in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silver in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sodium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental strontium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sulfur in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tellurium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thallium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thorium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tin in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental titanium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tungsten in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental uranium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental vanadium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental yttrium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental zinc in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental aluminium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental antimony in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental arsenic in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental barium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental beryllium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental bismuth in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental boron in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cadmium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental caesium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental calcium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cerium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental chromium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cobalt in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental copper in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gallium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gold in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental indium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental iron in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lanthanum in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lead in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lithium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental magnesium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental manganese in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental mercury in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental molybdenum in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental nickel in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental niobium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental phosphorus in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental potassium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental rubidium in infructescence	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental selenium in infructescence	rdfs:subClassOf	
